Name,Address 1,Address 2,City,State,Zip,SHPTO_COUNTRY_ID,Phone,Model,PO,QTY,Weight,Shipping Message,Carrier,BOL Number,Customer Order No,Pallet
Home Depot Store #6777,2500 HIGHWAY 155 SOUTH,,LOCUST GROVE,GA,30248,,,,1134488129,70,5110,,ESTES EXPRESS LINES,SID 232161177,V8721S   70,6
Home Depot Store #6760,16500 HUNTERS GREEN,,HAGERSTOWN,MD,21740,,,,1134490242,48,3044,,ESTES EXPRESS LINES,SID 232161181,V8721C   46,4
Home Depot Store #6707,22671 PEMBERVILLE RD,,LUCKEY,OH,43443,,,,1134495882,184,13432,,Arrive Logistics,SID 232161087,V8721S   184,16
Home Depot Store #5857,5395 HOPKINS ROAD,,TRACY,CA,95377,,,,1134522652,11,743,,ESTES EXPRESS LINES,SID 232161179,V8721P   11,1
