row_id,bol_number,po,output_docx,preview_text,status
1,SID 232161177,1134488129,artifacts/sps-bol-run/generated_bols/SID_232161177_1134488129.docx,artifacts/sps-bol-run/previews/SID_232161177_1134488129.txt,generated
2,SID 232161181,1134490242,artifacts/sps-bol-run/generated_bols/SID_232161181_1134490242.docx,artifacts/sps-bol-run/previews/SID_232161181_1134490242.txt,generated
3,SID 232161087,1134495882,artifacts/sps-bol-run/generated_bols/SID_232161087_1134495882.docx,artifacts/sps-bol-run/previews/SID_232161087_1134495882.txt,generated
4,SID 232161179,1134522652,artifacts/sps-bol-run/generated_bols/SID_232161179_1134522652.docx,artifacts/sps-bol-run/previews/SID_232161179_1134522652.txt,generated
